Mobiletimestamp,MobileAccl_X,MobileAccl_Y,MobileAccl_Z,MobileGyro_X,MobileGyro_Y,MobileGyro_Z, Watchtimestamp,Watch_X,Watch_Y,Watch_Z,WatchGyro_X,WatchGyro_Y,WatchGyro_Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.41753E+14,8.720104667,0.20289001,1.22177579,-0.006581624,0.015019735,0.002934774,6.47569E+13,8.384973333,-0.051714756,2.555570833,0.014747432,0.00445174,-0.000667743
1.41753E+14,7.829431467,0.186908563,1.104624467,-0.011474609,0.016647339,0.003743489,6.47569E+13,7.543603133,-0.04654328,2.315097367,0.01687796,0.005161916,-0.000312655
1.41753E+14,7.028539367,0.152424865,0.910890243,-0.009841919,0.012568156,0.004562378,6.47569E+13,6.7727229,-0.08713937,2.0052971,0.018653402,0.005161916,0.001462786
1.41753E+14,6.308455467,0.15871558,0.786782717,-0.006169637,0.012171427,0.005783081,6.47569E+13,6.086113133,-0.056877613,1.836370883,0.017943226,0.003031387,0.00252805
1.41753E+14,5.7357549,0.165814608,0.8093206,-0.001698812,0.014607748,0.005783081,6.47569E+13,5.506231933,-0.10936896,1.6757182,0.014392344,0.004806828,0.005368755
1.41753E+14,5.162902833,0.133440297,0.668087323,0.000747681,0.012166341,0.007817586,6.47569E+13,4.972847467,-0.07688424,1.508864783,0.010486374,0.006582269,0.006789108
1.41753E+14,4.6652713,0.127997269,0.65942373,-0.000473023,0.009724935,0.005783081,6.47569E+13,4.456169867,-0.11444622,1.363724333,0.006225316,0.007647533,0.006434019
1.41753E+14,4.228897133,0.095811257,0.617893927,-0.002909342,0.003621419,0.006189982,6.4757E+13,4.024199533,-0.07714424,1.2237606,0.00267195,0.007645225,0.005371862
1.41753E+14,3.7356583,0.063259552,0.393868507,-0.004135132,0.003611247,0.005783081,6.4757E+13,3.599513867,-0.03495331,1.081273167,0.000896509,0.009065578,0.006082039
1.41753E+14,3.374291933,0.072012337,0.523176727,-0.002100626,0.000762939,0.004969279,6.4757E+13,3.220887833,-0.042231888,1.001876287,-0.003009461,0.00871049,0.00395151
1.41753E+14,3.056248967,0.062655045,0.46583285,0.002782186,-5.08626E-05,0.005783081,6.4757E+13,2.8765327,-0.07248519,0.880859233,-0.004784901,0.007645225,0.003596422
1.41753E+14,2.780772533,0.067156148,0.464476613,0.004419962,0.004018148,0.008229574,6.4757E+13,2.5544032,-0.07816537,0.7575785,-0.00691543,0.006579961,0.002531157
1.41753E+14,2.4876213,0.07480058,0.458225213,0.003595988,0.000768026,0.006596883,6.4757E+13,2.305427233,-0.11128969,0.7407183,-0.009756136,0.001608727,0.001110805
1.41753E+14,2.200095933,0.070195279,0.4095371,-0.006169637,-0.005747477,0.00537618,6.4757E+13,2.051900567,-0.13248244,0.652999363,-0.009401047,-0.006203212,4.55401E-05
1.41753E+14,1.9621377,0.053123268,0.415238637,-0.004552205,-0.014709472,0.00374349,6.4757E+13,1.8222898,-0.09337683,0.62576719,-0.009756136,-0.01046427,-0.001374813
1.41753E+14,1.839866667,0.036321078,0.215786316,0.000747681,-0.013895671,0.005788167,6.4757E+13,1.668073333,-0.036633953,0.503575053,-0.008335783,-0.018986385,-0.000664636
1.41753E+14,1.617112133,0.013311834,-0.022579973,-0.001281738,-0.013086955,0.00537618,6.4757E+13,1.504139433,0.01658941,0.463991573,-0.008335783,-0.024312708,-0.001374813
1.41753E+14,1.3922297,0.001209473,0.04284946,-0.013498942,-0.020421346,0.004974365,6.47571E+13,1.3874836,0.079573914,0.44775943,-0.006560342,-0.033545,-0.001019724
1.41753E+14,1.354222933,0.039851954,0.257508337,-0.017567953,-0.01226298,0.01067098,6.47571E+13,1.240835,0.05437827,0.410884347,-0.004784902,-0.038161145,-0.001019724
